LSOA11CD,GridE100_mean,GridN100_mean,Count,Need_Mid,Need_High
E01030303,"511,892.39","159,671.08",49,0,0
E01030304,"510,270.52","160,652.96",25,0,0
E01030305,"512,704.31","160,912.33",45,0,0
E01030306,"511,575.24","161,174.96",50,0,0
E01030307,"514,213.30","164,436.19",57,0,0
E01030308,"513,705.00","164,541.73",59,0,0
E01030309,"513,111.38","163,532.38",55,0,0
E01030310,"513,862.97","165,609.77",39,0,0
E01030311,"512,172.75","164,591.42",36,0,0
E01030312,"512,050.47","164,975.00",30,0,0
E01030313,"511,311.00","164,742.06",32,0,0
E01030314,"510,682.22","164,725.11",27,0,0
E01030315,"511,018.69","163,955.36",39,0,0
E01030316,"510,516.43","164,239.06",47,0,0
E01030317,"511,529.69","164,156.02",42,0,0
E01030318,"509,695.96","162,670.47",77,0,0
E01030319,"516,167.10","165,396.27",30,0,0
E01030320,"515,598.28","165,502.56",18,0,0
E01030321,"515,435.94","165,265.70",33,0,0
E01030338,"508,775.12","164,847.88",34,0,0
E01030339,"508,783.22","165,185.20",46,0,0
E01030340,"508,995.47","164,384.00",36,0,0
E01030341,"509,328.10","165,364.73",63,0,0
E01030342,"514,716.27","160,911.42",74,0,0
E01030343,"512,780.17","159,364.08",52,0,0
E01030344,"513,714.98","160,990.98",46,0,0
